Ligand,Binding Affinity,rmsd/ub, rmsd/lb
refine_model252_ZINC03994271_uff_E=764.68,-6.3,0.0,0.0
refine_model252_ZINC04095704_uff_E=420.18,-6.0,0.0,0.0
refine_model252_ZINC04096339_uff_E=207.40,-4.9,0.0,0.0
refine_model252_ZINC04098020_uff_E=512.60,-5.3,0.0,0.0
refine_model252_ZINC04098248_uff_E=347.00,-4.1,0.0,0.0
refine_model252_ZINC04098287_uff_E=343.60,-4.4,0.0,0.0
refine_model252_ZINC04098293_uff_E=267.64,-4.9,0.0,0.0
refine_model252_ZINC04098318_uff_E=320.33,-4.7,0.0,0.0
refine_model252_ZINC04098683_uff_E=580.92,-4.7,0.0,0.0
refine_model252_ZINC04098748_uff_E=417.94,-5.2,0.0,0.0
refine_model252_ZINC04098841_uff_E=616.02,-4.8,0.0,0.0
refine_model252_ZINC04245684_uff_E=406.58,-5.5,0.0,0.0
refine_model252_ZINC04654685_uff_E=493.15,-5.7,0.0,0.0
refine_model252_ZINC04654686_uff_E=498.50,-6.0,0.0,0.0
refine_model252_ZINC04716567_uff_E=644.13,-6.2,0.0,0.0
refine_model252_ZINC04804529_uff_E=485.22,-5.8,0.0,0.0
refine_model252_ZINC04824380_uff_E=434.07,-4.7,0.0,0.0
refine_model252_ZINC05063215_uff_E=125.73,-5.3,0.0,0.0
refine_model252_ZINC05085289_uff_E=534.47,-3.6,0.0,0.0
refine_model252_ZINC05158952_uff_E=333.12,-5.8,0.0,0.0
refine_model252_ZINC05193911_uff_E=156.49,-4.7,0.0,0.0
refine_model252_ZINC05230095_uff_E=282.65,-6.1,0.0,0.0
refine_model252_ZINC05357841_uff_E=620.81,-6.6,0.0,0.0
refine_model252_ZINC05430812_uff_E=473.15,-7.0,0.0,0.0
refine_model252_ZINC05452752_uff_E=457.96,-5.0,0.0,0.0
refine_model252_ZINC05495493_uff_E=482.64,-5.7,0.0,0.0
refine_model252_ZINC05705861_uff_E=659.86,-6.0,0.0,0.0
refine_model252_ZINC05758645_uff_E=168.61,-6.4,0.0,0.0
refine_model252_ZINC05765089_uff_E=225.74,-6.4,0.0,0.0
refine_model252_ZINC05783606_uff_E=353.42,-5.3,0.0,0.0
refine_model252_ZINC05839739_uff_E=622.43,-6.4,0.0,0.0
refine_model252_ZINC05842416_uff_E=217.84,-6.4,0.0,0.0
refine_model252_ZINC05849017_uff_E=561.31,-5.7,0.0,0.0
refine_model252_ZINC05849399_uff_E=442.55,-6.6,0.0,0.0
refine_model252_ZINC05854400_uff_E=349.45,-7.3,0.0,0.0
refine_model252_ZINC05854599_uff_E=550.29,-6.8,0.0,0.0
refine_model252_ZINC05854604_uff_E=708.97,-7.2,0.0,0.0
refine_model252_ZINC05922776_uff_E=653.67,-5.0,0.0,0.0
refine_model252_ZINC05962583_uff_E=1664.11,-6.4,0.0,0.0
refine_model252_ZINC05962585_uff_E=168.49,-6.3,0.0,0.0
refine_model252_ZINC05998557_uff_E=312.16,-6.0,0.0,0.0
refine_model252_ZINC06018563_uff_E=268.41,-6.5,0.0,0.0
refine_model252_ZINC06018566_uff_E=114.83,-5.3,0.0,0.0
refine_model252_ZINC06018688_uff_E=360.95,-6.1,0.0,0.0
refine_model252_ZINC06019276_uff_E=229.26,-5.7,0.0,0.0
refine_model252_ZINC06038016_uff_E=532.66,-5.1,0.0,0.0
refine_model252_ZINC06050191_uff_E=504.84,-7.1,0.0,0.0
refine_model252_ZINC06091807_uff_E=148.35,-7.1,0.0,0.0
refine_model252_ZINC06119190_uff_E=723.33,-7.0,0.0,0.0
refine_model252_ZINC06394172_uff_E=398.29,-6.3,0.0,0.0
refine_model252_ZINC06404152_uff_E=513.71,-6.2,0.0,0.0
refine_model252_ZINC06483609_uff_E=307.16,-5.4,0.0,0.0
refine_model252_ZINC06484605_uff_E=311.22,-6.1,0.0,0.0
refine_model252_ZINC06523722_uff_E=263.04,-5.6,0.0,0.0
refine_model252_ZINC06524916_uff_E=192.42,-6.3,0.0,0.0
refine_model252_ZINC06920379_uff_E=73.56,-6.2,0.0,0.0
refine_model252_ZINC06922993_uff_E=1015.86,-4.8,0.0,0.0
refine_model252_ZINC11535640_uff_E=100.99,-5.8,0.0,0.0
refine_model252_ZINC12358789_uff_E=69.95,-5.1,0.0,0.0
refine_model252_ZINC13232672_uff_E=98.66,-6.0,0.0,0.0
refine_model252_ZINC13282986_uff_E=454.67,-5.4,0.0,0.0
refine_model252_ZINC13311972_uff_E=500.65,-6.0,0.0,0.0
refine_model252_ZINC13327497_uff_E=254.84,-6.4,0.0,0.0
refine_model252_ZINC13328057_uff_E=406.46,-5.2,0.0,0.0
refine_model252_ZINC13359041_uff_E=589.27,-5.2,0.0,0.0
refine_model252_ZINC13359122_uff_E=518.43,-3.7,0.0,0.0
refine_model252_ZINC13359134_uff_E=555.45,-5.0,0.0,0.0
refine_model252_ZINC13359138_uff_E=522.24,-4.3,0.0,0.0
refine_model252_ZINC13359177_uff_E=493.55,-5.9,0.0,0.0
refine_model252_ZINC13359242_uff_E=525.18,-4.4,0.0,0.0
refine_model252_ZINC13359254_uff_E=496.55,-4.3,0.0,0.0
refine_model252_ZINC13359262_uff_E=589.11,-4.5,0.0,0.0
refine_model252_ZINC13359285_uff_E=583.97,-4.8,0.0,0.0
refine_model252_ZINC13359332_uff_E=509.69,-5.6,0.0,0.0
refine_model252_ZINC13365918_uff_E=465.14,-6.2,0.0,0.0
refine_model252_ZINC13365959_uff_E=645.36,-7.7,0.0,0.0
refine_model252_ZINC13372804_uff_E=650.14,-5.5,0.0,0.0
refine_model252_ZINC13374323_uff_E=319.29,-6.7,0.0,0.0
refine_model252_ZINC13378640_uff_E=335.79,-7.1,0.0,0.0
